* LOGI *
0.975 - 16:53:12.612354
0.975 - 16:53:12.944156
0.975 - 16:53:14.956237
0.975 - 16:55:28.405683
0.975 - 16:55:28.709637
0.975 - 16:55:30.722981
0.975 - 16:55:32.736501
0.975 - 16:55:34.724674
0.975 - 16:55:36.735514
0.975 - 16:55:38.731650
0.975 - 16:55:40.737053
0.975 - 16:55:42.735511
0.975 - 16:55:51.843306
0.975 - 16:55:51.837883
0.975 - 16:55:51.821750
0.975 - 16:55:51.832155
0.975 - 16:55:52.745208
0.975 - 16:55:54.754431
0.975 - 16:55:56.752062
0.975 - 16:55:58.745047
0.975 - 16:56:00.746836
0.975 - 16:56:02.747093
0.975 - 16:56:04.791125
0.975 - 16:56:06.750313
0.975 - 16:56:08.760808
0.975 - 16:56:10.759419
0.975 - 16:56:12.756118
0.975 - 16:56:14.759863
0.975 - 16:56:16.758349
0.975 - 16:56:18.763361
0.975 - 16:56:20.760821
0.975 - 16:56:22.765603
0.975 - 16:56:24.763834
0.975 - 16:56:26.767254
0.972 - 16:56:30.436615
0.972 - 16:56:30.768208
0.972 - 16:56:32.770280
0.972 - 16:56:35.031949
0.972 - 16:56:36.774299
0.972 - 16:56:38.781180
0.972 - 16:56:40.792470
0.972 - 16:56:42.780181
0.972 - 16:56:44.781332
0.972 - 16:56:46.781901
0.972 - 16:56:48.786664
0.972 - 16:56:50.785280
0.972 - 16:56:52.788376
0.972 - 16:56:54.794325
0.972 - 16:56:56.790995
0.972 - 16:56:59.492864
0.972 - 16:57:00.792600
0.972 - 16:57:02.793828
0.972 - 16:57:04.795731
0.972 - 16:57:06.797526
0.972 - 16:57:08.799279
0.972 - 16:57:11.030446
0.972 - 16:57:12.807106
0.972 - 16:57:14.805106
0.972 - 16:57:16.806326
0.972 - 16:57:18.805261
0.972 - 16:57:20.806249
0.972 - 16:57:22.836689
0.972 - 16:57:24.809516
0.972 - 16:57:26.810565
0.972 - 16:57:28.817322
0.975 - 16:57:32.489669
0.975 - 16:57:32.815419
0.975 - 16:57:34.816055
0.975 - 16:57:36.818139
0.975 - 16:57:38.819971
0.975 - 16:57:40.830954
0.975 - 16:57:42.821140
0.975 - 16:57:44.822359
0.975 - 16:57:47.034169
0.975 - 16:57:48.825344
0.975 - 16:57:50.826960
0.975 - 16:57:52.828868
0.975 - 16:57:54.830920
0.975 - 16:57:56.832973
0.975 - 16:57:58.833493
0.975 - 16:58:00.834878
0.975 - 16:58:02.837213
0.975 - 16:58:04.838025
0.975 - 16:58:06.838888
0.975 - 16:58:08.841267
0.975 - 16:58:10.842240
0.975 - 16:58:12.843317
0.975 - 16:58:14.844931
0.975 - 16:58:16.846745
0.975 - 16:58:18.852226
0.975 - 16:58:20.849642
0.975 - 16:58:23.034311
0.975 - 16:58:24.851836
